Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1934,Alabama,210,0,
1935,Alabama,207,22,
1936,Alabama,208,21,
1937,Alabama,208,21,
1938,Alabama,208,21,
1939,Alabama,209,20,
1940,Alabama,209,20,
1941,Alabama,211,20,
1942,Alabama,211,22,
1943,Alabama,211,27,
1944,Alabama,213,28,
1945,Alabama,212,25,
1946,Alabama,216,23,
1947,Alabama,219,22,
1948,Alabama,221,23,
1949,Alabama,224,23,
1950,Alabama,225,26,
1951,Alabama,226,28,
1952,Alabama,229,30,
1953,Alabama,231,31,
1954,Alabama,234,37,
1955,Alabama,237,47,
1956,Alabama,237,53,
1957,Alabama,239,60,
1958,Alabama,239,62,
1959,Alabama,237,78,
1960,Alabama,238,90,
1961,Alabama,238,98,
1962,Alabama,239,108,
1963,Alabama,242,129,
1964,Alabama,252,142,
1965,Alabama,263,163,
1966,Alabama,267,186,5
1967,Alabama,266,211,0
1968,Alabama,268,236,3
1969,Alabama,268,247,1
1970,Alabama,272,272,4
1971,Alabama,273,303,3
1972,Alabama,277,334,4
1973,Alabama,287,369,11
1974,Alabama,293,417,8
1975,Alabama,299,457,6
1976,Alabama,303,484,5
1977,Alabama,310,509,7
1978,Alabama,312,553,5
1979,Alabama,317,578,7
1980,Alabama,317,624,1
1981,Alabama,308,668,3
1982,Alabama,294,656,3
1983,Alabama,273,702,4
1984,Alabama,269,715,5
1985,Alabama,240,758,5
1986,Alabama,228,793,6
1987,Alabama,225,819,9
1988,Alabama,221,853,8
1989,Alabama,221,880,5
1990,Alabama,220,932,1
1991,Alabama,219,962,0
1992,Alabama,217,987,1
1993,Alabama,214,1022,0
1994,Alabama,208,1065,1
1995,Alabama,186,1097,3
1996,Alabama,183,1171,0
1997,Alabama,175,1220,1
1998,Alabama,160,1257,1
1999,Alabama,156,1247,2
2000,Alabama,158,1245,4
2001,Alabama,158,1238,3
2002,Alabama,151,1250,0
2003,Alabama,151,1262,3
2004,Alabama,153,1273,4
2005,Alabama,150,1265,4
2006,Alabama,148,1275,4
2007,Alabama,149,1312,5
2008,Alabama,148,1349,3
2009,Alabama,144,1348,0
2010,Alabama,136,1344,0
2011,Alabama,134,1425,0
2012,Alabama,133,1427,0
2013,Alabama,129,1404,0
2014,Alabama,127,1396,0
2015,Alabama,124,1398,0
2016,Alabama,123,1379,0
2017,Alabama,116,1358,0
2018,Alabama,115,1356,1
2019,Alabama,106,1367,0
1934,Alaska,2,0,
1935,Alaska,2,0,
1936,Alaska,2,0,
1937,Alaska,2,0,
1938,Alaska,2,0,
1939,Alaska,2,0,
1940,Alaska,2,0,
1941,Alaska,2,0,
1942,Alaska,2,0,
1943,Alaska,2,0,
