Year,wellsfargo_branches,wellsfargo_deposits,bankam_branches,bankam_deposits,jpmc_branches,jpmc_deposits,usbank_branches,usbank_deposits,pnc_branches,pnc_deposits,usa_branches,usa_deposits,others_branches,others_deposits
2020,5413,1486672903,4254,1747264769,4980,1704654500,2774,"398,452,715",2324,"338,086,019",,,,
2019,5573,1301036724,4337,1364589805,5025,1311219500,2979,"342,652,693",2398,"269,409,234",76837,"13,219,963,335,000",56525,"13,215,374,427,044"
2018,5874,1280008306,4475,1325624599,5149,1316629642,3128,"320,952,865",2482,"262,176,349",77134,"12,612,885,279,000",56026,"12,608,379,887,239"
2017,6090,1258831130,4604,1287869700,5288,1311974142,3173,"329,468,253",2561,"257,675,713",78196,"12,081,456,682,000",56480,"12,077,010,863,062"
2016,6217,1166667711,4754,1222973508,5415,1216016756,3222,"298,344,516",2687,"248,453,701",79499,"11,648,919,378,000",57204,"11,644,766,921,808"
2015,6236,1101883515,4862,1185875742,5547,1130478670,3221,"279,550,033",2767,"237,987,918",80958,"10,907,951,313,000",58325,"10,904,015,537,122"
2014,6314,1073543725,5095,1062365000,5681,1079427654,3238,"263,661,347",2821,"221,109,179",81405,"10,370,557,399,000",58256,"10,366,857,292,095"
2013,6297,971939847,5400,1036418000,5696,952223653,3140,"235,339,663",2948,"209,784,952",82126,"9,791,108,371,000",58645,"9,787,702,664,885"
2012,6316,891436613,5659,1028221266,5607,865008196,3134,"220,712,719",3044,"203,375,163",82965,"9,447,122,008,000",59205,"9,443,913,254,043"
2011,6386,793617903,5855,975072332,5435,768919603,3139,"198,455,053",2618,"180,771,942",82564,"8,758,011,350,000",59131,"8,755,094,513,167"
2010,6587,750436183,6041,842383087,5255,652598382,3056,"169,202,467",2602,"177,348,420",82011,"7,873,247,576,000",58470,"7,870,655,607,461"
